vf,width,thickness,k11,k33,p,t,h
0.08044,0.11469,0.72894,0.44973,0.24397,1,0,0
0.52019,0.74856,0.55106,1.58271,0.40087,1,0,0
0.31781,0.85881,0.58544,1.29597,0.37211,1,0,0
0.58306,0.78356,0.33556,1.80389,0.35952,1,0,0
0.84919,0.35956,0.19006,1.50816,0.30001,1,0,0
0.44306,0.15069,0.49406,0.73965,0.26291,1,0,0
0.13406,0.90494,0.80819,0.92377,0.37278,1,0,0
0.43694,0.87994,0.89669,1.35811,0.48316,1,0,0
0.88244,0.24744,0.47131,1.28506,0.34484,1,0,0
0.73056,0.07381,0.56669,0.78389,0.28536,1,0,0
0.87819,0.27531,0.29506,1.36185,0.31119,1,0,0
0.86444,0.82844,0.72819,2.15338,0.57363,1,0,0
0.37369,0.25631,0.96894,0.78388,0.34898,1,0,0
0.33206,0.57081,0.65256,1.09721,0.34893,1,0,0
0.47981,0.55681,0.51544,1.33461,0.34962,1,0,0
0.13456,0.70994,0.80094,0.8736,0.35148,1,0,0
0.19006,0.60544,0.97169,0.85354,0.38075,1,0,0
0.98406,0.59969,0.49094,2.1318,0.47409,1,0,0
0.98894,0.00119,0.40844,0.81724,0.27158,1,0,0
0.60356,0.33994,0.14544,1.16948,0.25705,1,0,0
0.93019,0.49619,0.60331,1.84779,0.46309,1,0,0
0.85831,0.87606,0.66694,2.20406,0.5611,1,0,0
0.92919,0.10656,0.30394,1.02835,0.27417,1,0,0
0.25531,0.41231,0.34031,0.88844,0.25794,1,0,0
0.49669,0.97119,0.00606,1.839,0.28974,1,0,0
0.97719,0.43206,0.59844,1.74745,0.45614,1,0,0
0.77094,0.40731,0.76469,1.43385,0.43622,1,0,0
0.51869,0.07706,0.62881,0.67109,0.27219,1,0,0
0.37169,0.42631,0.80906,0.9789,0.35827,1,0,0
0.21294,0.28669,0.08781,0.7241,0.21433,1,0,0
0.82219,0.21544,0.61469,1.1203,0.35073,1,0,0
0.06494,0.14469,0.53019,0.46605,0.22799,1,0,0
0.08319,0.95694,0.96769,0.78762,0.38015,1,0,0
0.11081,0.57456,0.85019,0.76249,0.33407,1,0,0
0.19081,0.45444,0.00981,0.85855,0.21974,1,0,0
0.42894,0.69706,0.88531,1.27548,0.44898,1,0,0
0.72319,0.94906,0.57944,2.07657,0.4936,1,0,0
0.27244,0.33469,0.51281,0.77975,0.27235,1,0,0
0.96506,0.24381,0.86006,1.28975,0.4488,1,0,0
0.56819,0.21169,0.56131,0.90933,0.29987,1,0,0
0.83256,0.96244,0.02444,2.52671,0.3589,1,0,0
0.49969,0.51019,0.73081,1.26318,0.3933,1,0,0
